Latitude,Longitude,SST (°C),pH Level,Bleaching Severity
15.0311,-75.0534,28.29,8.06,0
-18.2515,147.643,26.2,8.16,0
3.1654,73.2983,28.67,8.105,0
-18.1841,147.787,28.13,8.106,0
3.2712,73.1725,29.53,8.082,2
9.9408,114.898,28.1,8.094,0
-18.2834,147.7806,26.43,8.006,0
20.0192,38.4984,25.4,8.108,0
-0.9203,-90.9473,27.09,8.053,2
-18.2902,147.747,27.02,8.105,0
-0.9934,-90.971,26.95,8.053,0
3.301,73.2225,27.45,8.082,1
14.989,-74.9693,29.64,8.001,0
14.9862,-75.1151,26.23,8.164,0
19.9875,38.5288,28.97,8.195,0
14.9936,-75.0478,26.09,8.108,0
19.8257,-155.6151,26.88,8.167,1
9.9996,115.074,28.62,8.005,0
-18.2602,147.6473,28.21,8.012,1
-18.2408,147.7947,26.4,8.12,2
-18.3115,147.6696,27.2,8.078,0
19.9103,-155.5853,28.14,8.012,0
10.0378,115.025,27.03,8.084,0
-18.3706,147.7264,27.51,8.098,0
-1.044,-91.047,28.57,8.062,0
10.0319,114.9169,28.4,7.991,2
3.2052,73.1777,27.92,8.112,0
-0.912,-91.0221,29.29,8.106,0
14.9602,-74.9711,28.2,8.075,0
-18.2828,147.6914,30.25,8.028,0
-18.3077,147.6748,27.85,8.083,0
-18.2726,147.803,29.81,8.008,2
-18.3075,147.5973,26.99,7.987,0
19.8977,-155.499,28.99,8.029,0
9.8894,115.0118,29.66,7.953,1
-0.9369,-90.9864,29.45,8.145,0
-18.2747,147.6762,27.23,8.117,2
19.9004,-155.6067,29.22,8.052,2
19.8713,-155.5963,27.03,8.057,2
-0.916,-91.0117,29.8,8.092,2
3.2966,73.182,26.63,7.998,0
20.0327,38.4972,28.92,7.985,2
15.0065,-74.9945,29.59,8.052,0
9.9605,115.0236,31.32,8.061,1
19.9744,38.4505,28.31,8.057,0
19.9154,38.5765,28.26,8.033,0
-1.0365,-90.9244,28.61,7.983,0
19.88,-155.4993,28.11,7.983,0
19.8832,-155.7176,28.42,8.04,0
-18.1947,147.7555,28.1,8.003,2
10.003,115.0007,28.46,8.061,0
9.9713,114.9727,28.45,8.024,2
19.9021,-155.5955,30.76,7.872,0
19.9591,-155.6865,27.99,8.042,0
9.9611,114.9445,31.13,8.044,0
20.0361,38.4435,27.71,8.09,1
-0.9182,-90.9776,27.94,8.097,1
9.982,115.058,26.88,8.113,0
19.8813,-155.5665,26.62,8.134,1
-0.9799,-90.9131,27.44,8.001,0
19.9271,-155.6468,31.13,7.893,2
-18.2765,147.6944,27.68,8.086,2
-18.2319,147.7049,28.73,8.027,0
19.9122,-155.6683,26.48,8.128,2
19.8876,-155.5819,29.02,8.013,0
10.0098,114.9511,29.11,7.953,1
3.2264,73.2335,29.97,8.104,0
-18.3791,147.6352,27.56,8.07,0
9.9637,115.0093,27.37,8.042,1
19.8506,-155.6504,27.04,8.132,0
3.3344,73.2454,28.78,8.002,2
-18.3159,147.7053,32.34,7.968,1
14.9648,-75.0017,31.16,7.966,1
-18.2517,147.6711,29.45,8.08,0
19.9215,38.4636,28.13,8.054,0
10.0089,114.9332,29.07,8.069,2
3.2568,73.2624,29.19,8.033,0
-18.2656,147.7096,28.91,7.978,1
-18.2344,147.6972,29.52,8.031,2
-0.9069,-90.9914,28.64,8.024,0
19.8813,-155.5717,27.78,8.127,1
-0.9631,-90.9876,30.67,8.016,0
-1.0281,-90.9522,29.83,8.027,0
-18.313,147.7697,31.95,7.963,2
3.2755,73.2997,27.72,8.045,0
9.9328,114.9541,26.99,8.042,0
20.0117,38.5775,27.0,8.129,2
3.2003,73.2544,26.82,8.103,1
-18.2625,147.7137,32.18,7.944,0
-18.3183,147.6714,27.54,8.129,0
19.9715,38.4584,29.21,8.008,0
-18.277,147.6234,30.82,8.093,2
3.1834,73.235,29.0,8.073,0
-18.2959,147.6593,26.43,8.055,1
-0.8641,-90.9915,28.84,8.042,0
20.0231,-155.6093,27.77,8.117,2
20.0923,38.5292,27.96,8.09,0
3.2438,73.2461,30.1,8.076,0
-18.2547,147.6908,28.72,8.106,0
3.2212,73.201,28.54,8.113,0
-18.2848,147.6312,29.62,8.06,0
14.9846,-74.989,28.87,8.121,0
-0.9398,-90.9352,28.78,8.022,1
19.9505,-155.6341,28.7,8.011,0
-18.3633,147.6713,29.07,8.117,0
-18.3149,147.7933,26.33,7.984,1
3.1777,73.1696,29.56,8.041,0
19.8328,-155.5392,29.48,8.026,0
3.1493,73.1444,27.46,8.068,0
3.1907,73.2383,26.62,8.16,0
-18.2312,147.7163,29.19,8.065,0
19.9289,-155.5163,28.79,8.08,0
19.9688,-155.6166,31.2,7.994,2
19.9032,-155.6169,29.76,7.992,1
14.9055,-75.0226,24.86,8.044,1
15.0393,-74.9787,27.05,8.077,0
-18.345,147.7744,29.82,8.013,0
10.0104,114.8979,28.13,8.023,0
19.9859,38.5899,29.46,8.002,2
19.9668,-155.5366,28.59,8.016,0
-18.2674,147.744,29.45,8.083,1
10.0659,115.0099,31.61,7.953,0
15.0099,-75.0326,27.77,8.048,2
20.0261,38.4713,28.46,8.158,0
3.2246,73.2226,28.68,8.077,1
3.1899,73.1373,29.1,8.07,1
19.9755,-155.6441,26.3,8.105,0
-0.8696,-90.9885,30.12,8.016,0
20.0442,38.5326,26.14,8.171,0
14.9687,-74.9802,29.24,8.048,0
-18.3207,147.6979,30.26,8.042,0
15.0386,-75.1424,30.22,7.929,0
-18.3431,147.6345,30.24,7.992,0
19.8945,-155.5589,28.62,7.984,2
19.9753,38.4222,27.86,8.138,0
-18.3045,147.6817,28.02,8.163,0
15.0215,-74.9485,28.86,8.03,1
19.8932,-155.5847,29.59,8.031,2
19.8928,-155.5789,25.5,8.156,0
15.0499,-75.1448,31.63,7.98,1
19.948,38.5306,26.92,8.05,0
-18.2966,147.7101,29.81,8.049,1
10.0182,115.1202,28.41,8.062,2
20.0553,38.5594,29.46,7.974,2
9.9427,115.0151,27.37,8.069,0
20.0161,38.5211,30.92,8.024,0
-18.2389,147.7587,26.66,8.117,0
19.8819,-155.514,28.27,8.061,2
20.0008,38.4452,26.34,8.173,2
-1.0034,-91.0733,27.54,8.003,0
-0.9033,-91.0,31.88,8.032,2
19.7718,-155.4683,26.42,8.009,1
20.122,38.5692,29.35,8.063,0
10.0379,115.0141,28.66,8.044,0
14.986,-75.0846,28.35,8.004,0
20.009,38.5696,29.88,7.944,0
10.047,114.9509,28.16,8.084,0
20.0053,38.4333,27.6,8.084,0
3.2248,73.2197,29.33,8.045,1
20.0063,38.4785,28.68,8.073,0
3.2048,73.1856,27.51,8.0,1
19.8346,-155.6174,27.42,8.116,0
19.9592,-155.6165,28.92,8.0,0
3.1434,73.2362,29.45,8.052,2
14.9935,-74.9978,28.28,8.103,1
14.9721,-75.0685,28.37,8.182,1
-18.2051,147.7831,27.67,8.095,1
19.981,38.4898,27.63,8.017,0
3.1416,73.2224,27.35,8.085,0
15.0165,-74.9583,25.51,8.129,2
19.9395,38.5836,29.13,8.002,2
15.0279,-74.9962,29.31,7.988,0
14.9293,-75.0056,27.14,8.04,0
-0.8992,-90.9351,26.86,8.067,2
-18.28,147.8152,29.09,8.048,1
10.0067,114.9924,29.56,8.077,1
14.9334,-75.0918,29.26,7.98,1
10.0194,115.1246,28.49,8.092,0
-0.9587,-90.9196,28.06,8.072,0
-18.3205,147.7488,28.24,8.017,1
3.1579,73.2221,28.49,8.105,0
19.8955,-155.5419,30.59,8.036,0
14.9344,-75.0533,28.04,8.029,0
-0.951,-90.9391,28.39,8.076,1
14.9012,-75.047,28.28,7.994,1
20.0765,38.5609,28.18,8.131,1
-0.9707,-90.9963,28.05,8.04,0
15.008,-74.9998,29.16,8.096,1
9.9258,114.8723,29.9,7.954,0
14.9415,-75.0901,29.31,8.072,1
14.8704,-75.0273,29.09,7.964,2
19.896,-155.5538,28.68,7.998,0
3.1949,73.2193,27.1,8.056,2
9.9914,115.0856,26.44,8.01,1
14.9895,-75.0335,30.06,7.989,1
10.0339,114.9756,31.74,7.955,1
19.9118,-155.5177,30.84,8.005,1
20.023,38.4661,31.52,7.996,1
10.0092,114.9326,27.04,8.139,1
3.1505,73.2475,30.28,8.05,0
9.9622,114.9289,30.75,7.989,0
20.0664,38.5278,29.18,8.145,0
20.0464,38.5029,28.9,8.118,0
-18.2602,147.7528,27.95,8.019,0
9.9017,115.1028,26.85,8.072,1
20.0154,38.5408,29.79,7.995,2
15.0141,-75.0124,30.91,8.026,0
20.0331,38.5587,28.77,7.98,0
-18.3197,147.6728,29.38,8.094,0
15.0154,-74.9149,28.86,8.173,2
-1.0418,-90.9279,29.07,8.103,0
-0.9607,-91.0268,28.19,8.014,0
-0.9244,-90.8821,29.09,7.978,1
15.0598,-75.0305,28.3,8.055,2
-18.2547,147.6932,29.13,7.993,0
15.0361,-75.0186,31.09,7.978,0
19.9434,-155.6537,25.86,8.027,0
-18.3147,147.8271,27.65,8.076,0
10.1003,115.1031,30.31,8.065,0
15.0389,-75.0276,27.27,8.074,1
14.9773,-74.9652,29.93,8.026,2
14.9429,-75.0097,27.42,7.978,1
-18.2932,147.7749,29.45,7.98,1
20.0611,38.5291,28.16,8.009,0
20.0544,38.5942,30.81,7.979,1
10.007,114.9116,28.98,8.033,0
9.9203,115.0257,27.7,8.007,1
14.9986,-74.9114,30.99,7.977,2
10.0234,114.9501,28.95,8.079,0
14.995,-75.0102,27.18,8.035,0
3.2212,73.2664,27.3,8.149,1
19.9989,38.4626,24.86,8.167,1
9.9859,115.0033,29.27,7.956,0
3.2425,73.158,28.94,7.973,0
19.9982,38.4192,30.25,7.978,2
20.01,38.5574,26.98,8.084,2
15.0347,-74.9912,27.95,8.02,2
9.9464,114.8539,29.15,8.082,0
9.9495,115.031,31.59,7.989,2
-0.9629,-90.8969,27.53,8.029,1
14.9523,-74.9939,30.94,8.017,0
19.8822,-155.661,29.82,8.02,0
-18.1274,147.7141,27.37,8.051,0
15.0057,-75.0719,29.88,7.989,0
20.054,38.4776,30.42,8.015,1
3.227,73.1784,27.53,8.121,0
19.8766,-155.6306,29.14,8.14,2
15.0012,-74.9294,28.38,8.075,0
-18.2657,147.6898,29.98,8.08,2
19.9258,-155.5665,28.79,8.027,1
9.9852,115.0084,30.48,7.96,1
-0.8879,-90.9715,25.32,8.083,0
19.9989,38.45,27.74,8.107,0
14.9881,-75.0183,27.91,8.016,0
19.9839,38.5609,30.78,8.054,2
20.0202,38.4988,27.14,8.093,1
10.0594,114.9768,28.8,8.058,0
10.0293,114.9763,29.81,7.957,1
-18.1902,147.6492,27.48,8.096,0
15.0175,-74.9755,29.45,8.086,1
19.8847,-155.5492,31.35,7.986,2
-0.8984,-90.9716,25.24,8.158,0
-18.2916,147.7158,28.79,8.08,0
10.0257,114.987,29.61,8.059,0
-0.8995,-90.9924,29.71,8.044,1
-18.2983,147.6817,28.47,8.035,0
-18.3679,147.6465,26.9,8.13,1
-18.2923,147.6908,28.61,8.106,0
15.0119,-74.9512,29.25,8.044,0
19.7616,-155.5489,27.52,7.978,2
3.2715,73.2138,29.93,8.102,1
3.2848,73.2578,28.61,7.968,0
3.1606,73.3292,28.24,8.061,0
3.205,73.3055,27.57,8.078,2
3.1368,73.1901,28.44,8.03,0
14.9297,-75.0042,26.24,8.133,0
9.9271,114.9845,27.37,8.089,0
3.109,73.2265,28.26,8.088,0
19.9624,38.484,27.31,8.128,0
-0.8587,-90.9686,27.44,7.996,0
-18.3663,147.7126,29.26,7.956,0
3.1786,73.228,30.92,8.046,0
-0.9984,-91.0732,27.42,8.061,0
-18.2937,147.703,28.16,8.024,1
19.9189,-155.6373,30.62,8.003,0
3.2382,73.2324,29.93,8.036,1
-0.9357,-91.0228,28.66,8.045,0
19.8904,-155.6769,27.68,8.071,2
-18.3385,147.7625,27.2,8.124,0
19.9677,38.5888,26.71,8.132,2
9.9665,115.0696,28.12,8.072,1
19.9933,38.5405,29.69,7.939,0
19.8137,-155.5312,30.19,7.962,0
-1.0091,-90.9763,28.04,8.098,0
10.0698,114.9719,28.19,7.972,1
-0.9056,-90.8848,26.65,8.057,1
-18.2731,147.6587,29.14,8.014,0
-18.2598,147.6995,27.85,8.058,1
9.9815,114.9871,30.9,8.03,1
20.0348,38.4833,30.26,8.033,0
3.2252,73.1422,26.81,8.024,0
20.0866,38.6116,29.46,8.056,1
-18.3142,147.6598,27.57,8.06,2
9.901,115.0374,26.89,8.094,2
19.8508,-155.7093,28.07,8.114,1
19.9385,38.5248,27.8,8.059,0
19.9249,38.5127,29.2,8.09,0
10.0154,114.9804,28.9,8.025,0
19.9815,38.5189,28.46,8.107,1
19.8081,-155.5197,27.14,8.044,0
10.0687,114.8932,33.21,8.009,0
19.8941,-155.5685,29.28,8.067,2
19.9013,-155.5927,28.27,8.045,0
20.0297,38.353,29.48,8.04,2
19.8774,-155.5266,29.92,7.983,1
9.9514,114.931,27.56,8.112,0
15.0257,-74.9637,29.27,8.002,0
10.04,115.0377,30.28,8.05,0
15.0535,-75.0013,27.18,8.068,1
-0.9876,-90.9728,27.31,8.058,2
-0.9431,-90.9655,27.27,8.107,1
19.9196,38.4619,27.35,8.026,0
9.9903,114.9868,25.49,8.142,1
-0.9508,-90.9517,30.54,7.944,2
19.906,-155.4928,30.36,8.023,1
-18.2467,147.6505,29.21,8.061,2
10.138,115.0196,27.74,8.064,1
19.9653,38.4795,27.71,8.073,2
-0.8977,-90.9656,28.49,8.034,2
-18.2458,147.6558,27.51,8.055,1
-0.9948,-90.9894,29.81,8.037,0
-18.2446,147.6923,29.09,8.033,0
-0.9829,-91.0875,28.3,8.125,0
19.9451,-155.521,28.63,8.057,1
9.9842,115.0308,30.31,8.007,1
20.0,38.5301,26.33,7.979,0
19.939,38.4746,28.28,8.032,1
3.2191,73.2357,29.43,7.974,0
-18.2909,147.7327,26.89,8.004,0
-18.2683,147.6541,27.2,8.132,1
20.0821,38.455,29.46,8.014,1
19.9728,38.4919,28.56,7.999,0
-18.3128,147.6878,27.01,7.952,0
-0.8332,-90.9264,28.47,8.037,0
10.0274,114.941,30.17,8.052,0
-0.9319,-90.9646,29.51,8.059,1
19.9713,38.5051,30.82,7.942,1
19.905,-155.5803,28.76,8.057,0
19.9713,-155.6628,27.26,8.07,0
19.888,-155.4997,28.53,8.061,0
3.172,73.2019,28.02,8.124,0
9.9444,115.0123,29.25,8.092,1
19.846,-155.6233,26.61,8.076,2
-18.2377,147.6954,28.02,8.067,2
10.1045,114.9196,28.78,8.146,1
19.8873,-155.6007,28.23,8.124,0
-0.8771,-91.0368,28.1,8.037,0
14.9201,-74.9769,31.54,7.921,0
19.9669,38.5213,28.53,8.017,0
10.0902,114.9905,29.58,7.964,1
15.0236,-74.9258,29.03,8.024,0
19.8343,-155.5526,29.82,8.001,0
15.0133,-75.0218,28.4,8.157,0
14.9821,-75.0324,29.62,8.019,0
20.0661,38.571,27.6,7.975,0
19.9658,38.5395,25.54,8.154,2
20.0365,38.5007,27.07,8.058,2
20.0053,38.5292,31.46,7.912,0
19.902,-155.6277,26.5,8.08,0
14.9936,-74.9244,26.32,8.093,0
15.0182,-74.9557,27.87,7.932,2
-0.932,-90.9454,30.35,7.959,0
15.0596,-75.0889,28.98,8.015,1
20.0174,38.4756,27.49,8.072,1
-18.3414,147.7332,26.78,8.118,0
9.9137,114.9661,30.29,7.965,0
-0.9307,-90.9264,28.12,8.028,2
10.0869,115.0489,28.63,8.007,2
3.2289,73.2416,30.6,8.04,0
10.0526,114.9501,27.92,8.074,0
-18.1316,147.7295,28.23,8.082,1
19.984,38.5898,28.85,8.068,0
20.0211,38.5419,27.57,8.041,0
-18.2651,147.7381,29.19,8.12,0
19.9302,-155.6374,27.92,8.096,1
19.9853,38.4964,26.22,8.078,0
-0.925,-90.9406,28.57,8.049,0
19.9317,-155.5618,29.24,8.009,0
10.0549,114.9761,27.21,8.111,0
19.9498,-155.5519,29.53,7.961,1
-0.9407,-90.9841,28.72,7.957,0
3.1513,73.1531,26.22,8.151,1
15.0767,-75.0268,25.94,8.045,0
-0.9616,-90.993,28.74,8.07,0
19.9692,-155.6008,26.51,8.069,0
14.9518,-75.0479,29.02,8.037,2
14.9621,-75.0115,27.11,8.122,1
3.1105,73.1742,26.26,8.062,0
9.9275,114.9539,26.99,8.09,1
-0.9899,-90.9568,27.68,8.053,0
15.067,-75.065,29.74,8.066,0
20.0409,38.5769,26.82,8.038,0
19.9104,-155.5552,29.01,8.059,0
-0.9014,-90.9071,28.16,8.055,0
20.0257,38.5286,28.41,8.108,2
-18.2589,147.6482,28.46,8.042,1
9.9815,114.9934,29.74,8.003,0
20.0875,38.5691,26.56,8.123,0
15.0132,-74.9853,28.15,8.018,2
-18.3329,147.6576,28.4,8.016,0
19.9712,-155.6118,28.86,8.068,0
-18.2833,147.7363,29.22,7.974,1
19.9412,-155.621,28.56,8.083,1
-18.2335,147.8174,27.32,8.005,0
-0.9177,-90.9771,30.68,7.939,1
3.1725,73.3067,31.49,7.952,1
15.043,-75.0194,28.43,8.053,0
19.9993,38.4655,27.76,8.137,1
20.0407,38.4861,28.08,8.098,0
